"","mtry","min.node.size","splitrule","logLoss","AUC","prAUC","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","Detection_Rate","Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","F1SD","SensitivitySD","SpecificitySD","Pos_Pred_ValueSD","Neg_Pred_ValueSD","PrecisionSD","RecallSD","Detection_RateSD","Balanced_AccuracySD"
"1",2,1,"gini",0.393234243769318,0.743520432268293,0.656685325707434,0.846434859773816,0,0.916831541902218,1,0,0.846434859773816,NA,0.846434859773816,1,0.846434859773816,0.5,0.00102243166875151,0.00345153973475912,0.00418384700667531,0.00000861653353933925,0,0.00000505467226246115,0,0,0.00000861653353933925,NA,0.00000861653353933925,0,0.00000861653353933925,0
"2",2,1,"extratrees",0.39544867618582,0.73607205926297,0.633621857377509,0.846434859773816,0,0.916831541902218,1,0,0.846434859773816,NA,0.846434859773816,1,0.846434859773816,0.5,0.000723964671127959,0.00291088677448903,0.00349485701749581,0.00000861653353933925,0,0.00000505467226246115,0,0,0.00000861653353933925,NA,0.00000861653353933925,0,0.00000861653353933925,0
"3",51,1,"gini",0.385797315263547,0.751399134027091,0.663640957975048,0.848636801971459,0.241227419839329,0.914971986138311,0.962149530236973,0.222966526669984,0.872205238563464,0.516609090307567,0.872205238563464,0.962149530236973,0.814396903422634,0.592558028453478,0.00289566440293306,0.00288503255881176,0.00314170022544564,0.00102756093851863,0.00602014669395981,0.000576498391873748,0.000851258212957595,0.00498152572128075,0.000715235158181984,0.00773706626492873,0.000715235158181978,0.000851258212957595,0.000721480302034299,0.00250916082860917
"4",51,1,"extratrees",0.382748941716182,0.752095829077939,0.655115056563558,0.84841305745892,0.224858896991873,0.915116447312764,0.965363648209026,0.203793695743312,0.869841398832935,0.516304302860349,0.869841398832935,0.965363648209026,0.817117445185842,0.584578671976169,0.00190639588671108,0.00207319387472685,0.0025849278877265,0.000837483886720613,0.00506214305572155,0.000463180026559941,0.000574325746646353,0.00391500173782381,0.000571319978560258,0.00684597581108537,0.000571319978560267,0.000574325746646353,0.000488031447452716,0.00202808799287467
"5",100,1,"gini",0.427361924246253,0.74511937169018,0.627754806263693,0.845052630327693,0.240009945550003,0.91264725700128,0.956287040359587,0.231940236903998,0.87281702344901,0.49054066754946,0.87281702344901,0.956287040359587,0.809434686126355,0.594113638631793,0.00503386563048303,0.0030538561362353,0.00297741260072983,0.00112089769436868,0.004377087975574,0.000662892310875444,0.00111646283061291,0.00296727086585063,0.000467902288750022,0.00766759827952853,0.000467902288749999,0.00111646283061291,0.000944308443857438,0.00167888792611708
"6",100,1,"extratrees",0.497382571711159,0.731656450414312,0.586403659394311,0.833081009775583,0.220298871239141,0.90511060832272,0.940517869602383,0.240900273095151,0.872273099036556,0.423569491962993,0.872273099036556,0.940517869602383,0.796087112977295,0.590709071348767,0.010749626017711,0.00276930344694546,0.0030164887228932,0.000905552263601822,0.00385927617507315,0.000545011022482501,0.0010156694681583,0.00345783791336182,0.000492011688732748,0.00478267650677835,0.000492011688732759,0.0010156694681583,0.000861692669620897,0.00169153591661418
