"","mtry","min.node.size","splitrule","logLoss","AUC","prAUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","logLossSD","AUCSD","prAUCSD","AccuracySD","KappaSD","Mean_F1SD","Mean_SensitivitySD","Mean_SpecificitySD","Mean_Pos_Pred_ValueSD","Mean_Neg_Pred_ValueSD","Mean_PrecisionSD","Mean_RecallSD","Mean_Detection_RateSD","Mean_Balanced_AccuracySD"
"1",2,1,"gini",0.914826489776074,0.800268581143088,0.693329474567273,0.629952467012676,0.409386518793151,0.607459991321443,0.596532055846673,0.79792308663655,0.648157494551725,0.811292627010735,0.648157494551725,0.596532055846673,0.209984155670892,0.697227571241612,0.0032625589763222,0.00194597814636734,0.00249485274638729,0.00153979853232986,0.0030127391424645,0.00216382917367612,0.00226196613889828,0.00110021233011111,0.00199200241279436,0.00070269266607272,0.00199200241279433,0.00226196613889828,0.000513266177443284,0.00167940021061007
"2",2,1,"extratrees",0.916832450396153,0.793797634315754,0.671870398459214,0.626557152256527,0.405385752819487,0.603701726821662,0.593856131519289,0.79716290997653,0.639000436111904,0.809520449958463,0.639000436111904,0.593856131519289,0.208852384085509,0.695509520747909,0.00324246802757916,0.00185089267053162,0.0029992318780476,0.00144723399019789,0.00284925920305693,0.00204756620319843,0.0020650224655782,0.00105302341576672,0.000913638570361349,0.000715451126981443,0.000913638570361367,0.0020650224655782,0.000482411330065966,0.00155613903566915
"3",51,1,"gini",0.786575117621511,0.824487657282984,0.66986578247621,0.654410219753982,0.464369095063884,0.642134134322397,0.64047467808088,0.820029382260564,0.647256224354604,0.822635984333835,0.647256224354604,0.64047467808088,0.218136739917994,0.730252030170722,0.00466976307865188,0.00126457236393141,0.00224874196206832,0.00210327181982742,0.00337987994805842,0.00238591179526017,0.0024201309593492,0.00113857126440146,0.0023148245995943,0.00106051605439755,0.0023148245995943,0.0024201309593492,0.000701090606609142,0.00177799070394028
"4",51,1,"extratrees",0.77864162807605,0.825787048996037,0.680518235225388,0.657199483283295,0.468833791300401,0.644979981456405,0.643508911533339,0.821542798307294,0.65008987857976,0.824144195815948,0.65008987857976,0.643508911533339,0.219066494427765,0.732525854920317,0.00338649551420934,0.0010868238466379,0.00222031724599263,0.00136586056673082,0.00228741516589771,0.00159678010014145,0.00168772115246626,0.000796794326314565,0.00141348820785663,0.000699400192813085,0.00141348820785664,0.00168772115246626,0.000455286855576945,0.0012398404317878
"5",100,1,"gini",0.835450622572506,0.818801089533638,0.634310485481342,0.648497199522869,0.455347853965969,0.636238158508305,0.634642399446076,0.817068352526862,0.64084198497548,0.819503389087447,0.64084198497548,0.634642399446076,0.21616573317429,0.725855375986469,0.00796135274048737,0.0013726570378649,0.00208979523257998,0.00182441396922052,0.00291521061748665,0.00210554105953121,0.00210854393664324,0.000975694986658367,0.00203040128999101,0.000906677189679065,0.002030401289991,0.00210854393664324,0.000608137989740165,0.00154060904576158
"6",100,1,"extratrees",0.918401097140677,0.809863470872981,0.628368413116107,0.633948435501406,0.433667502932687,0.622409316462829,0.621034489978203,0.810035006454205,0.625352127880512,0.811768894545099,0.625352127880512,0.621034489978203,0.211316145167135,0.715534748216204,0.00819581943812314,0.00107060720359638,0.00129679201015111,0.00163943225066165,0.00270502265763723,0.00188911756834406,0.00195800320152398,0.000925666474179676,0.00172683304758513,0.000840582906469335,0.00172683304758513,0.00195800320152398,0.00054647741688722,0.00144009369893601
